NCT_ID,Brief_Title,Official_Title,Start_Date,Year,Status,Phase,Enrollment,Enrollment_Type,Sponsor_Class,Countries,Subspecialty,Retina_Subtype,Modality,AI_Tag,Was_UpRanked,Source_MeSH,Source_Text
NCT00000113,Correction of Myopia Evaluation Trial (COMET),Correction of Myopia Evaluation Trial (COMET),1997-09-30,1999,COMPLETED,PHASE3,469.0,ACTUAL,Other,United States,Refractive Surgery,Refractive Surgery,Other/Unspecified,False,False,True,False
NCT00000114,Randomized Trial of Vitamin A and Vitamin E Supplementation for Retinitis Pigmentosa,,1984-05-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Retina,Medical Retina,Pharmacologic,False,False,True,False
NCT00000115,Randomized Trial of Acetazolamide for Uveitis-Associated Cystoid Macular Edema,,1990-12-31,1999,COMPLETED,PHASE2,,,NIH,Missing/Not Listed,Uveitis & Inflammation,Uveitis & Inflammation,Pharmacologic,False,False,True,True
NCT00000116,Randomized Trial of DHA for Retinitis Pigmentosa Patients Receiving Vitamin A,Clinical Trial of Docosahexaenoic Acid (DHA) in Patients With Retinitis Pigmentosa Receiving Vitamin A Treatment,1996-05-31,1999,COMPLETED,PHASE3,221.0,ACTUAL,NIH,United States,Retina,Retina (Other/Unclear),Other/Unspecified,False,False,True,False
NCT00000117,Intravenous Immunoglobulin Therapy in Optic Neuritis,,1995-08-31,1999,COMPLETED,PHASE3,,,NIH,United States,Neuro-Ophthalmology,Neuro-Ophthalmology,Pharmacologic,False,False,True,True
NCT00000118,Ganciclovir Implant Study for Cytomegalovirus Retinitis,,1992-10-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Retina,Retina (Other/Unclear),Device/Hardware,False,False,True,True
NCT00000119,Safety and Efficacy of a Heparin-Coated Intraocular Lens in Uveitis,,1994-03-31,1999,UNKNOWN,PHASE2,,,NIH,United States,Uveitis & Inflammation,Uveitis & Inflammation,Device/Hardware,False,False,True,True
NCT00000120,Clinical Trial of Eye Prophylaxis in the Newborn,,1985-01-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Cornea & Ocular Surface,Cornea & Ocular Surface,Pharmacologic,False,False,True,True
NCT00000121,The Prism Adaptation Study (PAS),,1984-03-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Neuro-Ophthalmology,Neuro-Ophthalmology,Device/Hardware,False,False,True,True
NCT00000122,Fluorouracil Filtering Surgery Study (FFSS),,1985-09-30,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Glaucoma,Glaucoma,Pharmacologic,False,False,True,True
NCT00000123,The Berkeley Orthokeratology Study,,1978-01-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Cornea & Ocular Surface,Cornea & Ocular Surface,Device/Hardware,False,False,True,True
NCT00000124,Collaborative Ocular Melanoma Study (COMS),,1986-11-30,1999,UNKNOWN,PHASE3,,,NIH,Missing/Not Listed,Ocular Oncology,Ocular Oncology,Surgical/Interventional,False,False,True,True
NCT00000125,Ocular Hypertension Treatment Study (OHTS),Ocular Hypertension Treatment Study (OHTS),1994-02-28,1999,COMPLETED,PHASE3,1636.0,ACTUAL,Other,Missing/Not Listed,Glaucoma,Glaucoma,Pharmacologic,False,False,True,True
NCT00000126,Ischemic Optic Neuropathy Decompression Trial Followup (IONDT Followup),,1994-10-31,1999,UNKNOWN,,,,NIH,United States,Neuro-Ophthalmology,Neuro-Ophthalmology,Surgical/Interventional,False,False,True,False
NCT00000127,Ischemic Optic Neuropathy Decompression Trial (IONDT),,1992-10-31,1999,COMPLETED,PHASE3,,,NIH,Missing/Not Listed,Neuro-Ophthalmology,Neuro-Ophthalmology,Surgical/Interventional,False,False,True,False
